index,month,price
0,2022-01-07 15:29:04 UTC,18.58
1,2022-01-07 15:30:04 UTC,18.41
2,2022-01-07 15:31:04 UTC,18.19
3,2022-01-07 15:32:04 UTC,18.06
4,2022-01-07 15:33:04 UTC,18.03
5,2022-01-07 15:34:04 UTC,17.8
6,2022-01-07 15:35:04 UTC,17.8
7,2022-01-07 15:36:04 UTC,17.72
8,2022-01-07 15:37:04 UTC,17.68
9,2022-01-07 15:38:04 UTC,17.66
10,2022-01-07 15:39:04 UTC,17.82
11,2022-01-07 15:40:04 UTC,17.72
12,2022-01-07 15:41:04 UTC,17.77
13,2022-01-07 15:42:04 UTC,17.83
14,2022-01-07 15:43:04 UTC,17.77
15,2022-01-07 15:44:04 UTC,17.86
16,2022-01-07 15:45:04 UTC,17.75
17,2022-01-07 15:46:04 UTC,17.84
18,2022-01-07 15:47:04 UTC,17.79
19,2022-01-07 15:48:04 UTC,17.84
20,2022-01-07 15:49:04 UTC,17.73
21,2022-01-07 15:50:04 UTC,17.56
22,2022-01-07 15:51:04 UTC,17.46
23,2022-01-07 15:52:04 UTC,17.46
24,2022-01-07 15:53:09 UTC,17.49
25,2022-01-07 15:54:09 UTC,17.46
26,2022-01-07 15:55:09 UTC,18.19
27,2022-01-07 15:56:09 UTC,17.38
28,2022-01-07 15:57:09 UTC,16.9
29,2022-01-07 15:58:09 UTC,16.53
30,2022-01-07 15:59:09 UTC,16.16
31,2022-01-07 16:00:09 UTC,15.92
32,2022-01-07 16:01:09 UTC,15.71
33,2022-01-07 16:02:09 UTC,15.55
34,2022-01-07 16:03:09 UTC,15.4
35,2022-01-07 16:04:09 UTC,15.31
36,2022-01-07 16:05:09 UTC,15.18
37,2022-01-07 16:06:09 UTC,15.1
38,2022-01-07 16:07:09 UTC,15.1
39,2022-01-07 16:08:09 UTC,15.07
40,2022-01-07 16:09:09 UTC,14.97
41,2022-01-07 16:10:09 UTC,14.97
42,2022-01-07 16:11:09 UTC,14.93
43,2022-01-07 16:12:09 UTC,14.94
44,2022-01-07 16:13:09 UTC,14.92
45,2022-01-07 16:14:09 UTC,14.93
46,2022-01-07 16:15:12 UTC,14.89
47,2022-01-07 16:16:12 UTC,14.9
48,2022-01-07 16:17:12 UTC,14.92
49,2022-01-07 16:18:12 UTC,14.94
50,2022-01-07 16:19:12 UTC,14.93
51,2022-01-07 16:20:12 UTC,14.93
52,2022-01-07 16:21:12 UTC,14.9
53,2022-01-07 16:22:12 UTC,14.93
54,2022-01-07 16:23:12 UTC,14.99
55,2022-01-07 16:24:12 UTC,14.94
56,2022-01-07 16:25:12 UTC,14.94
57,2022-01-07 16:26:12 UTC,14.94
58,2022-01-07 16:27:12 UTC,14.97
59,2022-01-07 16:28:12 UTC,14.99
60,2022-01-07 16:29:12 UTC,14.99
61,2022-01-07 16:30:12 UTC,14.99
62,2022-01-07 16:31:12 UTC,14.96
63,2022-01-07 16:32:12 UTC,14.99
64,2022-01-07 16:33:12 UTC,15.01
65,2022-01-07 16:34:12 UTC,15
66,2022-01-07 16:35:12 UTC,15.01
67,2022-01-07 16:36:12 UTC,15.01
68,2022-01-07 16:37:12 UTC,15.03
69,2022-01-07 16:38:12 UTC,15.03
70,2022-01-07 16:39:12 UTC,15.07
71,2022-01-07 16:40:12 UTC,15.03
72,2022-01-07 16:41:12 UTC,15.06
73,2022-01-07 16:42:12 UTC,15.07
74,2022-01-07 16:43:12 UTC,15.07
75,2022-01-07 16:44:12 UTC,15.09
76,2022-01-07 16:45:12 UTC,15.09
77,2022-01-07 16:46:12 UTC,15.09
78,2022-01-07 16:47:12 UTC,15.13
79,2022-01-07 16:48:12 UTC,15.13
80,2022-01-07 16:49:12 UTC,15.14
81,2022-01-07 16:50:12 UTC,15.14
82,2022-01-07 16:51:12 UTC,15.11
83,2022-01-07 16:52:12 UTC,15.14
84,2022-01-07 16:53:12 UTC,15.13
85,2022-01-07 16:54:12 UTC,15.14
86,2022-01-07 16:55:12 UTC,15.13
87,2022-01-07 16:56:12 UTC,15.16
88,2022-01-07 16:57:12 UTC,15.2
89,2022-01-07 16:58:12 UTC,15.18
90,2022-01-07 16:59:12 UTC,15.18
91,2022-01-07 17:00:12 UTC,15.17
